"ID" "Name" "PositionCommittee" "AttendanceCommittee" "AttendanceCommittee.prop" "Firstname" "Lastname" "Nationality" "NationalParty" "EPGroup" "NeutralCommittees" "NumberCommittees" "NumberPreviousCommittees" "Incumbent" "CommitteeIncumbent" "LoyaltyEPGroup" "LoyaltyNationalParty" "ParticipationRollCall" "PolicyLoyaltyEPGroup" "PolicyLoyaltyNationalParty" "PolicyParticipationRollCall" "MP" "Minister" "PM" "PolicyMP" "PolicyMinister" "NumberReports_OwnInitiative.prev" "NumberReports" "NumberReports_Codecision" "NumberReports_OwnInitiative" "NumberShadowReports" "Committee" "Year" "Chair" "NumberCommittees.lag" "NeutralCommittees.lag" "AttendanceCommittee.prop.lag" "NumberReports_Codecision.lag" "NumberReports.lag" "NumberShadowReports.lag" "PositionCommittee.lag" "Chair.lag" "NationalPolitics" "PolicyNationalPolitics" "EP" "INI.cum" "NewMember.lag" "NumberReports_Codecision.cum" "Loyalty" "NewMemberState"
4440 "Anne Elisabet Jensen" "Substitute" 2 0.1 "Anne E." "JENSEN" "Denmark" "Venstre, Danmarks Liberale Parti" "ALDE" 0 1 1 1 1 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 0.222222222222222 1 1 0 0 0 0 0 6 0 0 4 NA 0
1852 "Dieter-Lebrecht Koch" "Substitute" 3 0.15 "Dieter-Lebrecht" "KOCH" "Germany" "Christlich Demokratische Union Deutschlands" "PPE" 0 1 1 1 1 NA NA NA NA NA NA 1 0 0 NA 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 1 1 0 0 0 1 NA 6 0 0 4 NA 0
23807 "Magda Kosane Kovacs" "Substitute" 7 0.35 "Magda" "KOSANE KOVACS" "Hungary" "Magyar Szocialista Part" "S" 0 1 1 1 1 NA NA NA NA NA NA 1 1 0 1 1 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 1
28263 "Lasse Antero Lehtinen " "Substitute" 13 0.65 "Lasse" "LEHTINEN" "Finland" "Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti" "S" 0 1 1 0 0 NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 0 6 0 0 0 NA 0
28317 "Jamila Madeira" "Substitute" 9 0.45 "Jamila" "MADEIRA" "Portugal" "Partido Socialista" "S" 0 1 1 0 0 NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 0 6 0 0 0 NA 0
28421 "Marianne Mikko" "Substitute" 11 0.55 "Marianne" "MIKKO" "Estonia" "Sotsiaaldemokraatlik Erakond" "S" 0 1 1 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 1
28977 "Roberto Musacchio" "Substitute" 7 0.35 "Roberto" "MUSACCHIO" "Italy" "Partito della Rifondazione Comunista - Sinistra Europea" "GUE/NGL" 0 1 1 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
1122 "Ria Oomen-Ruijten" "Member" 18 0.9 "Ria" "OOMEN-RUIJTEN" "Netherlands" "Christen Democratisch Appel" "PPE" 0 0 0 1 1 NA NA NA NA NA NA 1 0 0 NA 0 1 1 0 1 NA "EMPL" 1 0 0 0 0.666666666666667 0 0 0 0 0 1 NA 6 1 0 3 NA 0
28586 "Dimitrios Papadimoulis" "Substitute" 13 0.65 "Dimitrios" "PAPADIMOULIS" "Greece" "Synaspismos tis Aristeras ton Kinimaton kai tis Oikologias" "GUE/NGL" 0 1 1 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
1970 "María Sornosa Martínez" "Substitute" 3 0.15 "Maria" "SORNOSA MARTINEZ" "Spain" "Partido Socialista Obrero Espanol" "S" 0 1 1 1 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
2294 "Ursula Stenzel" "Substitute" 8 0.4 "Ursula" "STENZEL" "Austria" "Osterreichische Volkspartei - Liste Ursula Stenzel" "PPE" 0 1 1 1 1 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
28134 "Eva-Britt Svensson" "Substitute" 5 0.25 "Eva-Britt" "SVENSSON" "Sweden" "Vansterpartiet" "GUE/NGL" 1 1 1 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
29579 "Marc Tarabella" "Substitute" 9 0.45 "Marc" "TARABELLA" "Belgium" "Parti Socialiste" "S" 0 1 0 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
28340 "Patrizia Toia" "Substitute" 15 0.75 "Patrizia" "TOIA" "Italy" "Uniti nell'Ulivo" "ALDE" 0 1 1 0 0 NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 0 6 0 0 0 NA 0
